geography_code,gross_acres,illit,unemployed_pct,ho_pct,agecat1,agecat2,agecat3,agecat4,agecat5,agecat6,agecat7,influenza
G17003100165,78.9,257,0.338212464,0.059436682,84,535,380,432,338,1800,936,17
G17003100166,88.7,310,0.32987013,0.064171123,144,810,645,769,612,2521,1034,17
G17003100167,69.9,98,0.346456693,0.044291339,57,307,224,301,277,1240,641,8
G17003100168,80.0,679,0.303767776,0.056589943,150,1011,615,782,599,2766,894,22
G17003100169,77.9,245,0.338866095,0.053151809,143,714,552,642,454,2097,759,18
G17003100170,155.6,265,0.302467158,0.046139058,77,450,311,383,273,1140,483,15
G17003100171,80.0,242,0.370265964,0.038485108,148,828,697,977,756,3370,1379,18
G17003100172,80.0,388,0.373201632,0.043805025,182,1051,963,1246,855,3598,1418,30
G17003100173,80.0,311,0.365696698,0.041130386,109,732,703,1022,781,2682,1115,26
G17003100174,80.0,218,0.363724138,0.041103448,106,778,645,876,775,2914,1136,15
G17003100175,86.7,318,0.355493741,0.03922114,159,834,643,859,654,2927,1111,30
G17003100176,69.2,1021,0.32880597,0.045820896,130,912,599,804,570,2687,992,31
G17003100177,77.6,888,0.309005297,0.026402085,351,1777,1279,1462,968,4528,1526,43
G17003100178,80.6,339,0.315566673,0.027708293,141,719,564,721,438,1843,769,24
G17003100179,321.5,145,0.356858281,0.047381901,122,753,482,708,588,3066,1307,15
G17003100180,80.0,146,0.35048274,0.052770798,179,1043,737,758,594,3199,1046,25
G17003100181,80.0,143,0.351221521,0.049684326,170,925,682,839,595,3121,945,31
G17003100182,80.0,140,0.359570662,0.042188432,133,728,499,557,572,3202,994,15
G17003100183,80.0,408,0.353785901,0.057151146,162,742,546,679,600,3047,1112,17
G17003100184,80.0,121,0.332237674,0.047534766,251,1219,720,772,542,3378,1027,25
G17003100185,78.6,199,0.318202298,0.037621086,262,1483,827,844,554,3949,954,28
G17003100186,76.7,1123,0.285645146,0.035136966,345,1875,1185,1106,545,4255,1004,46
G17003100187,84.6,315,0.308360043,0.023504274,263,1211,856,907,483,2933,822,43
G17003100188,88.5,513,0.266155277,0.023709902,132,658,494,555,276,1674,508,32
G17003100189,160.0,366,0.307756931,0.064127695,107,554,370,442,277,1298,519,17
G17003100190,80.0,505,0.335820896,0.045708955,81,620,406,511,323,1659,687,10
G17003100191,80.0,271,0.31150608,0.049345182,136,670,471,498,278,1714,490,27
G17003100192,67.5,847,0.301677651,0.047932894,218,1115,717,736,440,2596,852,32
G17003100193,79.0,664,0.325588648,0.025884921,207,1142,749,667,377,2582,685,37
G17003100194,75.1,1116,0.300823529,0.029411765,302,1555,1013,892,424,3538,764,38
G17003100195,84.2,2001,0.294923858,0.030795262,427,2178,1370,1346,669,4701,1123,49
G17003100196,80.5,951,0.301564246,0.016648045,228,1504,925,998,608,3583,1092,62
G17003100197,79.3,592,0.318683608,0.021245574,138,643,470,617,374,1811,742,30
G17003100198,86.7,221,0.308421053,0.016842105,26,107,79,77,58,396,207,8
G17003100199,157.3,92,0.367208672,0.058265583,99,508,354,530,433,2607,1365,13
G17003100200,74.4,115,0.361830743,0.047783535,65,275,227,320,268,1571,748,9
G17003100201,64.3,11,0.334815474,0.034237439,32,148,118,162,150,1112,519,6
G17003100202,13.1,6,0.323325635,0.027713626,5,40,24,37,28,218,78,0
G17003100203,80.0,6,0.357240624,0.076923077,74,339,219,287,270,1646,818,6
G17003100204,80.0,6,0.370292151,0.069517775,71,328,302,444,515,2508,1510,8
G17003100205,80.0,16,0.367759944,0.071877181,78,406,322,476,497,2492,1456,7
G17003100206,162.1,30,0.385595675,0.060629465,49,285,207,318,343,2483,1490,13
G17003100207,238.5,57,0.348455598,0.08011583,108,574,482,651,551,2585,1264,16
G17003100208,90.1,45,0.357142857,0.063392857,78,462,382,561,509,2448,1160,11
G17003100209,124.1,13,0.43810549,0.062970936,30,120,92,196,166,763,491,0
G17003100210,180.5,30,0.354118924,0.04137016,112,633,446,672,676,3727,1997,21
G17003100211,80.1,42,0.373656984,0.039594111,64,321,201,330,355,2499,1244,13
G17003100212,99.0,32,0.352017937,0.040154912,59,331,249,334,373,2246,1300,12
G17003100213,108.9,72,0.352851942,0.04217233,79,409,332,622,519,2915,1704,18
G17003100214,96.2,46,0.373367405,0.042447473,81,540,411,702,583,2942,1769,24
G17003100215,96.9,24,0.345796367,0.042670046,66,370,275,408,419,1994,1186,9
G17003100216,72.0,48,0.373692078,0.042750374,46,294,195,303,317,1501,677,9
G17003100217,80.0,149,0.350980856,0.04112503,81,418,268,334,347,2045,729,8
G17003100218,80.0,52,0.343406593,0.050595238,61,372,244,374,400,2109,805,16
G17003100219,80.0,206,0.347114272,0.049115264,114,601,500,645,544,2487,1148,14
G17003100220,80.3,342,0.354428571,0.038857143,148,893,664,782,614,2847,1046,14
G17003100221,80.0,97,0.358857616,0.036009934,52,307,228,254,198,948,415,8
G17003100222,120.0,132,0.317192833,0.040955631,95,403,293,460,387,1970,1070,13
G17003100223,117.5,157,0.313895304,0.030023095,64,363,327,467,402,2393,1157,14
G17003100224,117.4,169,0.306876436,0.017146898,93,497,316,462,417,2839,1030,19
G17003100225,156.4,92,0.22923173,0.009785551,51,250,184,267,233,2396,1417,23
G17003100226,162.3,79,0.167690128,0.005668399,19,91,65,83,84,1026,748,7
G17003100227,146.3,22,0.065699659,0.000853242,2,16,9,22,27,480,614,3
G17003100228,102.2,104,0.337215752,0.038639305,93,431,351,512,429,2268,1303,17
G17003100229,50.2,35,0.401565074,0.031713344,33,144,127,172,164,1154,603,10
G17003100230,50.0,17,0.330498177,0.033110571,59,196,141,198,248,1665,783,2
G17003100231,97.5,95,0.356558062,0.033416876,81,376,300,422,446,2824,1504,28
G17003100232,103.8,125,0.305431131,0.028695409,82,432,324,418,473,3734,1659,23
G17003100233,79.3,67,0.277498604,0.017308766,68,292,198,287,337,2851,1305,17
G17003100234,106.6,132,0.238530857,0.010786455,73,317,223,309,495,4116,1756,20
G17003100235,103.1,517,0.27645451,0.007614213,38,208,153,228,247,2317,1905,27
G17003100236,97.7,177,0.075490522,0.000665115,7,57,41,51,68,1383,1380,16
G17003100237,18.7,1,0.283149171,0.006906077,6,27,24,42,54,407,161,4
G17003100238,80.0,96,0.35040885,0.045454545,80,446,328,464,339,1621,873,13
G17003100239,38.7,158,0.34910859,0.048298217,55,308,304,378,308,1126,602,6
G17003100240,26.2,145,0.369042001,0.057102407,49,266,199,236,198,775,392,5
G17003100241,68.4,336,0.360784314,0.046901961,143,839,647,841,581,2354,968,27
G17003100242,52.5,221,0.325501433,0.024068768,64,382,313,461,392,1338,535,21
G17003100243,26.7,656,0.360502693,0.033393178,31,395,275,335,286,1053,409,11
G17003100244,92.4,1569,0.350099873,0.027238061,283,1617,1111,1245,911,4352,1479,33
G17003100245,103.6,916,0.354977806,0.02714014,176,1149,881,1051,686,2690,1231,45
G17003100246,113.0,2596,0.330516786,0.027536779,407,2090,1497,1681,1063,4564,1934,77
G17003100247,91.1,1534,0.293748365,0.0206644,215,1136,770,775,530,2993,1152,61
G17003100248,73.2,638,0.304099637,0.015568241,103,485,394,468,276,1456,662,25
G17003100249,137.0,317,0.337256677,0.017202354,63,314,277,345,171,718,320,31
G17003100250,12.5,182,0.34557377,0.035409836,40,201,184,215,120,558,205,3
G17003100251,20.4,541,0.303013994,0.014800861,125,612,439,449,217,1453,412,7
G17003100252,15.1,44,0.317073171,0.018292683,17,76,49,66,33,192,59,1
G17003100253,48.5,3,0.349462366,0.048387097,8,43,29,43,36,142,71,4
G17003100254,132.5,25,0.375312969,0.045818728,93,456,356,485,350,1537,717,10
G17003100255,168.5,558,0.362682772,0.041958042,245,1228,960,1281,820,3448,1453,34
G17003100256,158.2,480,0.370282827,0.038226424,394,1433,1311,1678,1186,4388,1867,30
G17003100257,120.0,1307,0.388636364,0.030627706,173,1244,960,1286,888,3283,1401,32
G17003100258,79.1,556,0.359649123,0.03125,119,687,597,787,505,1913,857,27
G17003100259,64.0,732,0.360276274,0.026694045,105,657,538,728,497,1933,875,33
G17003100260,70.8,860,0.352897474,0.025507677,79,504,348,495,325,1569,677,23
G17003100261,164.9,287,0.30776699,0.031067961,25,126,92,113,87,414,172,18
