"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Čakov (Benešov, 529478)";69,04;30,95
"Čakov (České Budějovice, 535541)";70,37;29,62
"Čaková";48,2;51,79
"Čakovičky";75,56;24,43
"Čankovice";56,12;43,87
"Čáslav";56,51;43,48
"Čáslavice";47,51;52,48
"Čáslavsko";47,14;52,85
"Částkov (Tachov, 560804)";40,46;59,53
"Částkov (Uherské Hradiště, 592137)";43,49;56,5
"Častohostice";49,52;50,47
"Častolovice";57,88;42,11
"Častrov";61,35;38,64
"Časy";69,04;30,95
"Čavisov";52,3;47,69
"Čebín";62,06;37,93
"Čečelice";58,69;41,3
"Čečelovice";60;40
"Čečkovice";56,45;43,54
"Čečovice";26,31;73,68
"Čehovice";43,04;56,95
"Čechočovice";46,76;53,23
"Čechtice";60,32;39,67
"Čechtín";51,51;48,48
"Čechy";44,61;55,38
"Čechy pod Kosířem";48,98;51,01
"Čejč";56,11;43,88
"Čejetice";51,01;48,98
"Čejkovice (České Budějovice, 544329)";56,65;43,34
"Čejkovice (Hodonín, 586102)";62,32;37,67
"Čejkovice (Kutná Hora, 529524)";55,55;44,44
"Čejkovice (Znojmo, 593877)";33,11;66,88
"Čejov";55,85;44,14
"Čeladná";56,94;43,05
"Čelákovice";68,48;31,51
"Čelčice";36,02;63,97
"Čelechovice";44,44;55,55
"Čelechovice na Hané";43,67;56,32
"Čelistná";70,9;29,09
"Čeložnice";50,78;49,21
"Čeminy";52,07;47,92
"Čenkov";52,88;47,11
"Čenkov u Bechyně";61,53;38,46
"Čenkovice";78,49;21,5
"Čeperka";65,69;34,3
"Čepí";55,82;44,17
"Čepřovice";52,88;47,11
"Čeradice";34,09;65,9
"Čerčany";68,81;31,18
"Čermákovice";53,52;46,47
"Čermná (Domažlice, 553514)";45,27;54,72
"Čermná nad Orlicí";48,97;51,02
"Čermná (Trutnov, 579106)";51,01;48,98
"Čermná ve Slezsku";21,42;78,57
"Černá";50,28;49,71
"Černá Hora";60,69;39,3
"Černá u Bohdanče";63,04;36,95
"Černá v Pošumaví";58,71;41,28
"Černá Voda";48,29;51,7
"Černava";41,62;58,37
"Černčice (Louny, 542628)";46,86;53,13
"Černčice (Náchod, 573957)";68,38;31,61
"Černé Voděrady";59,65;40,34
"Černěves";67,88;32,11
"Černíč";60,6;39,39
"Černíkov";41,14;58,85
"Černíkovice (Plzeň-sever, 566632)";55,17;44,82
"Černíkovice (Rychnov nad Kněžnou, 576204)";53,86;46,13
"Černíky";52,17;47,82
"Černilov";65,36;34,63
"Černín";27,27;72,72
"Černíny";54,23;45,76
"Černiv";44,68;55,31
"Černolice";84,68;15,31
"Černošice";82,16;17,83
"Černošín";41,14;58,85
"Černotín";55,96;44,03
"Černouček";90,97;9,02
"Černousy";34,21;65,78
"Černov";46,66;53,33
"Čerňovice";45,19;54,8
"Černovice (Blansko, 581500)";46,36;53,63
"Černovice (Chomutov, 563021)";43,55;56,44
"Černovice (Pelhřimov, 547760)";59,41;40,58
"Černovice (Plzeň-jih, 566098)";40,47;59,52
"Černožice";55,4;44,59
"Černuc";52,26;47,73
"Černvír";57,65;42,34
"Černý Důl";72,06;27,93
"Černýšovice";43,28;56,71
"Červená Hora";71,75;28,24
"Červená Lhota";72,72;27,27
"Červená Řečice";60,32;39,67
"Červená Třemešná";66,94;33,05
"Červená Voda";50,65;49,34
"Červené Janovice";49,47;50,52
